time,open,high,low,close,tick_volume,spread,real_volume
2018-08-29,7581.91,7673.16,7580.41,7669.41,98001,0,0
2018-08-30,7672.66,7696.41,7625.91,7641.91,110251,0,0
2018-08-31,7639.41,7681.16,7632.91,7673.16,62751,0,0
2018-09-03,7671.91,7685.66,7657.91,7679.79,47621,0,0
2018-09-04,7680.41,7692.66,7586.16,7639.91,172501,0,0
2018-09-05,7640.91,7642.16,7502.66,7535.66,173751,0,0
2018-09-06,7533.16,7543.41,7408.41,7452.41,189251,0,0
2018-09-07,7453.66,7493.41,7393.16,7432.91,179751,0,0
2018-09-10,7432.16,7482.91,7413.41,7458.66,112501,0,0
2018-09-11,7459.91,7523.41,7404.16,7512.91,185501,0,0
2018-09-12,7513.91,7540.16,7424.41,7481.41,199001,0,0
2018-09-13,7481.41,7581.16,7469.41,7564.91,140001,0,0
2018-09-14,7562.54,7597.91,7519.41,7542.41,136871,0,0
2018-09-17,7532.91,7546.16,7428.66,7434.41,136501,0,0
2018-09-18,7433.66,7534.16,7393.41,7497.91,217251,0,0
2018-09-19,7528.16,7545.16,7470.41,7528.41,149251,0,0
2018-09-20,7528.91,7615.91,7513.16,7612.66,121751,0,0
2018-09-21,7603.41,7635.91,7546.91,7546.91,121501,0,0
2018-09-24,7538.16,7592.41,7473.16,7590.41,186251,0,0
2018-09-25,7590.16,7602.41,7550.66,7596.66,97001,0,0
2018-09-26,7596.41,7666.91,7576.91,7589.66,173251,0,0
2018-09-27,7589.91,7685.41,7585.66,7663.41,126001,0,0
2018-09-28,7662.41,7675.41,7616.41,7666.66,113751,0,0
2018-10-01,7673.66,7727.66,7651.41,7673.41,152251,0,0
2018-10-02,7675.04,7711.91,7629.66,7657.16,146621,0,0
2018-10-03,7653.91,7702.91,7640.91,7650.91,121001,0,0
2018-10-04,7650.29,7650.29,7456.16,7522.41,260381,0,0
2018-10-05,7520.04,7538.66,7346.41,7437.41,301871,0,0
2018-10-08,7442.04,7451.66,7285.91,7391.16,280621,0,0
2018-10-09,7390.16,7454.66,7336.41,7393.91,232751,0,0
2018-10-10,7394.41,7411.16,6999.41,7001.91,431001,0,0
2018-10-11,7008.79,7136.66,6907.91,7042.41,423881,0,0
2018-10-12,7040.79,7196.41,7033.41,7182.66,184131,0,0
2018-10-15,7151.66,7170.66,7061.91,7069.16,135001,0,0
2018-10-16,7067.54,7358.04,7063.41,7339.91,316891,0,0
2018-10-17,7342.16,7367.66,7220.91,7314.16,265501,0,0
